fold_1,fold_2,fold_3,fold_4,fold_5
5241,4825,5028,5020,4718
5243,4836,5048,5023,4719
5245,4844,5055,5025,4732
5248,4850,5073,5026,4742
5249,4859,5076,5029,4744
5251,4879,5080,5031,4760
5253,4884,5084,5038,4763
5254,4894,5085,5039,4789
5255,4923,5105,5040,4791
5258,4925,5121,5041,4797
5259,4927,5127,5043,4800
5264,4936,5135,5050,4801
5265,4937,5146,5051,4806
5268,4940,5152,5053,4811
5269,4942,5156,5054,4812
5272,4949,5208,5056,4823
5274,4954,5209,5059,4824
5275,4956,5222,5060,4841
5276,4957,5250,5061,4854
5277,4963,5257,5062,4870
5278,4968,5266,5068,4887
5281,4977,5270,5070,4888
5287,4991,5273,5071,4893
5289,4992,5280,5077,4895
5293,4994,5290,5081,4908
5296,4996,5291,5082,4909
5299,4999,5292,5083,4911
5300,5002,5295,5088,4916
5302,5003,5298,5091,4917
5317,5005,5301,5103,4921
5328,5007,5304,5104,4928
5332,5010,5305,5106,4935
5335,5013,5306,5110,4955
5338,5024,5307,5115,4960
5345,5030,5310,5116,4970
5352,5032,5311,5117,4974
5353,5033,5312,5119,4976
5362,5047,5313,5120,4985
5365,5058,5316,5129,5014
5367,5063,5319,5131,5015
5369,5064,5324,5136,5016
5372,5066,5326,5143,5017
5374,5072,5329,5145,5034
5377,5074,5331,5159,5046
5378,5075,5337,5165,5067
5380,5087,5341,5173,5069
5388,5093,5347,5176,5078
5390,5094,5349,5178,5096
5398,5095,5361,5185,5108
5406,5097,5364,5192,5118
5426,5098,5370,5200,5122
5429,5099,5371,5204,5124
5430,5100,5375,5212,5128
5434,5101,5376,5215,5130
5436,5102,5384,5223,5132
5439,5107,5389,5224,5134
5442,5109,5395,5225,5138
5447,5112,5402,5231,5139
5448,5113,5411,5232,5141
5455,5123,5414,5235,5142
5460,5125,5416,5238,5148
5469,5126,5420,5252,5155
5470,5133,5422,5260,5157
5474,5144,5423,5261,5162
5477,5147,5424,5262,5169
5481,5149,5425,5263,5171
5482,5150,5428,5279,5174
5487,5151,5440,5282,5181
5492,5158,5450,5283,5186
5493,5160,5452,5284,5187
5497,5161,5456,5303,5191
5501,5163,5457,5315,5195
5505,5164,5458,5318,5202
5512,5166,5459,5320,5205
5518,5167,5462,5330,5213
5530,5168,5467,5336,5214
5535,5170,5485,5342,5216
5544,5177,5495,5346,5219
5548,5179,5498,5348,5220
5568,5180,5500,5354,5227
5569,5182,5507,5355,5228
5577,5183,5511,5359,5230
5579,5188,5514,5360,5236
5588,5189,5515,5368,5240
5590,5190,5516,5373,5242
5591,5193,5525,5383,5244
5592,5194,5527,5385,5256
5594,5196,5528,5387,5267
5595,5197,5531,5394,5271
5596,5201,5550,5396,5285
5597,5207,5551,5397,5321
5599,5210,5556,5399,5323
5600,5211,5557,5403,5327
5602,5217,5560,5404,5340
5616,5218,5564,5409,5343
5618,5229,5566,5410,5350
5619,5233,5567,5412,5357
5621,5237,5572,5415,5358
5625,5246,5573,5417,5381
5632,5247,5574,5421,5382
5672,5286,5575,5427,5400
5673,5288,5581,5435,5405
5686,5294,5582,5437,5407
5694,5297,5607,5441,5413
5698,5308,5609,5443,5419
5712,5309,5610,5445,5431
5717,5314,5611,5446,5438
5721,5322,5612,5449,5451
5724,5325,5613,5468,5461
5725,5333,5614,5471,5465
5726,5334,5617,5472,5466
5735,5339,5626,5473,5483
5743,5344,5635,5475,5488
5745,5351,5636,5480,5502
5747,5356,5654,5486,5504
5751,5363,5662,5491,5508
5762,5366,5664,5499,5526
5763,5379,5665,5506,5529
5766,5386,5671,5509,5532
5767,5391,5675,5510,5533
5769,5392,5680,5517,5536
5772,5393,5683,5519,5537
5774,5401,5684,5520,5541
5775,5408,5688,5521,5547
5778,5418,5690,5523,5552
5780,5432,5691,5524,5553
5782,5433,5693,5542,5555
5784,5444,5701,5545,5576
5787,5453,5702,5546,5580
5788,5454,5704,5554,5585
5790,5463,5707,5562,5586
5791,5464,5714,5570,5587
5797,5476,5715,5578,5593
5799,5478,5719,5589,5598
5801,5479,5728,5603,5601
5806,5484,5732,5606,5604
5809,5489,5740,5608,5605
5813,5490,5742,5620,5622
5814,5494,5756,5634,5623
5818,5496,5768,5637,5627
5820,5503,5783,5638,5628
5821,5513,5785,5641,5629
5824,5522,5789,5645,5630
5825,5534,5796,5646,5633
5826,5538,5865,5650,5639
5827,5539,5881,5651,5640
5828,5540,5938,5652,5642
5832,5543,5958,5657,5643
5835,5549,5968,5668,5644
5837,5558,5971,5677,5648
5842,5559,5972,5681,5649
5843,5561,5973,5687,5653
5852,5563,5979,5697,5656
5855,5565,5982,5722,5658
5856,5571,5986,5729,5659
5859,5583,5994,5731,5660
5860,5584,6029,5736,5661
5861,5615,6033,5739,5663
5862,5624,6059,5750,5666
5863,5631,6060,5752,5669
5866,5647,6064,5755,5670
5870,5655,6068,5760,5674
5874,5667,6072,5764,5678
5875,5676,6074,5781,5679
5877,5682,6084,5793,5695
5878,5685,6089,5802,5696
5879,5689,6090,5803,5699
5889,5692,6094,5804,5700
5890,5703,6112,5805,5708
5896,5705,6118,5819,5709
5900,5706,6123,5834,5710
5905,5718,6124,5839,5711
5906,5723,6125,5844,5713
5907,5730,6129,5850,5716
5909,5734,6134,5851,5720
5924,5737,6135,5853,5727
5925,5738,6136,5858,5733
5926,5754,6139,5867,5741
5929,5757,6144,5868,5744
5933,5770,6145,5871,5746
5934,5773,6148,5876,5748
5941,5779,6154,5883,5749
5952,5786,6155,5884,5753
5976,5794,6156,5886,5758
5981,5795,6157,5892,5759
5987,5807,6160,5897,5761
5990,5811,6164,5911,5765
5996,5812,6166,5913,5771
5999,5815,6168,5914,5776
6001,5816,6170,5915,5777
6005,5817,6173,5916,5792
6015,5836,6174,5917,5798
6017,5849,6175,5922,5800
6018,5869,6177,5923,5808
6019,5882,6179,5928,5810
6021,5898,6181,5930,5822
6022,5901,6186,5936,5823
6024,5903,6189,5939,5829
6026,5927,6193,5940,5830
6030,5942,6194,5943,5831
6031,5945,6196,5953,5833
6034,5946,6197,5955,5838
6039,5961,6204,5957,5840
6040,5967,6206,5959,5841
6048,5970,6210,5960,5845
6051,5974,6212,5962,5846
6058,5975,6218,5963,5847
6069,5985,6222,5964,5848
6073,5993,6230,5965,5854
6077,5998,6235,5966,5857
6078,6000,6236,5978,5864
6080,6006,6237,5983,5872
6086,6007,6241,5984,5873
6092,6009,6245,5991,5880
6097,6010,6252,5995,5885
6099,6011,6254,6004,5887
6104,6020,6259,6008,5888
6107,6035,6263,6012,5891
6108,6036,6264,6013,5893
6109,6037,6269,6014,5894
6114,6038,6270,6016,5895
6120,6044,6277,6027,5899
6121,6045,6279,6028,5902
6131,6046,6280,6032,5904
6132,6049,6281,6047,5908
6149,6052,6282,6050,5910
6162,6053,6284,6054,5912
6163,6056,6285,6057,5918
6167,6063,6287,6061,5919
6171,6075,6291,6062,5920
6172,6076,6293,6065,5921
6178,6081,6294,6070,5931
6180,6082,6296,6071,5932
6184,6083,6306,6091,5935
6185,6087,6309,6093,5937
6190,6088,6312,6102,5944
6191,6095,6314,6103,5947
6200,6096,6316,6110,5948
6202,6098,6318,6111,5949
6207,6101,6321,6117,5950
6208,6105,6323,6122,5951
6209,6115,6328,6133,5954
6211,6116,6331,6146,5956
6213,6126,6334,6158,5969
6214,6127,6337,6161,5977
6215,6128,6340,6165,5980
6217,6130,6341,6169,5988
6225,6140,6345,6182,5989
6228,6141,6351,6183,5992
6229,6150,6352,6188,5997
6233,6159,6353,6205,6002
6238,6199,6356,6216,6003
6244,6201,6358,6219,6023
6249,6223,6359,6220,6025
6250,6240,6360,6224,6041
6262,6248,6361,6226,6042
6265,6253,6363,6227,6043
6271,6257,6371,6234,6055
6278,6260,6374,6239,6066
6283,6268,6376,6242,6067
6299,6286,6378,6246,6079
6303,6290,6382,6251,6085
6304,6325,6384,6255,6100
6308,6343,6386,6256,6106
6310,6344,6387,6266,6113
6313,6362,6388,6267,6119
6315,6393,6390,6272,6137
6320,6414,6401,6273,6138
6322,6444,6403,6274,6142
6324,6448,6406,6288,6143
6332,6449,6407,6289,6147
6335,6450,6410,6292,6151
6338,6473,6412,6297,6152
6342,6479,6413,6298,6153
6346,6489,6415,6300,6176
6349,6513,6419,6301,6187
6357,6521,6421,6305,6192
6366,6522,6428,6307,6195
6367,6526,6434,6311,6198
6368,6531,6466,6326,6203
6375,6545,6471,6327,6221
6377,6546,6476,6330,6231
6380,6567,6481,6347,6232
6381,6576,6485,6354,6243
6383,6588,6493,6355,6247
6385,6607,6495,6369,6258
6394,6610,6504,6370,6261
6395,6611,6511,6373,6275
6404,6641,6516,6389,6276
6405,6649,6523,6392,6295
6408,6650,6529,6398,6302
6411,6657,6530,6409,6317
6424,6669,6542,6418,6319
6429,6671,6543,6420,6329
6431,6673,6551,6422,6333
6433,6679,6554,6425,6336
6436,6715,6560,6426,6339
6437,6726,6580,6427,6348
6439,6727,6581,6432,6350
6454,6744,6585,6438,6364
6459,6745,6586,6440,6365
6461,6748,6592,6445,6372
6464,6750,6594,6446,6379
6465,6761,6601,6447,6391
6484,6764,6602,6460,6396
6488,6780,6603,6463,6397
6490,6786,6612,6468,6399
6491,6788,6613,6472,6400
6492,6794,6614,6475,6402
6494,6803,6617,6478,6416
6502,6805,6619,6482,6417
6503,6813,6620,6483,6423
6506,6818,6621,6487,6430
6515,6821,6622,6496,6435
6527,6822,6623,6500,6441
6528,6824,6624,6505,6442
6533,6838,6625,6507,6443
6538,6846,6626,6512,6451
6544,6848,6628,6518,6452
6550,6849,6629,6519,6453
6552,6850,6632,6520,6455
6559,6860,6633,6525,6456
6565,6861,6636,6536,6457
6568,6865,6638,6537,6458
6572,6871,6639,6540,6462
6573,6872,6643,6549,6467
6582,6875,6646,6553,6469
6587,6894,6655,6558,6470
6595,6900,6658,6561,6474
6597,6911,6659,6563,6477
6598,6912,6662,6564,6480
6604,6913,6664,6566,6486
6608,6916,6665,6569,6497
6616,6922,6668,6571,6498
6627,6925,6672,6577,6499
6637,6927,6681,6583,6501
6640,6928,6685,6584,6508
6653,6931,6689,6589,6509
6661,6932,6690,6634,6510
6670,6934,6696,6635,6514
6674,6935,6698,6651,6517
6675,6936,6700,6656,6524
6677,6937,6702,6695,6532
6703,6940,6704,6697,6534
6710,6941,6709,6717,6535
6712,6942,6711,6719,6539
6714,6943,6724,6723,6541
6718,6944,6731,6729,6547
6721,6947,6742,6730,6548
6722,6948,6747,6736,6555
6725,6949,6754,6740,6556
6728,6953,6765,6751,6557
6732,6954,6767,6753,6562
6733,6956,6770,6755,6570
6734,6960,6773,6756,6574
6735,6962,6776,6757,6575
6737,6965,6781,6760,6578
6738,6966,6782,6762,6579
6739,6968,6790,6769,6590
6741,6969,6804,6772,6591
6746,6971,6806,6777,6593
6749,6972,6809,6779,6596
6752,6973,6812,6784,6599
6759,6975,6814,6785,6600
6766,6977,6815,6789,6605
6768,6978,6816,6791,6606
6774,6980,6825,6792,6609
6775,6981,6826,6795,6615
6783,6982,6836,6802,6618
6787,6984,6837,6807,6630
6793,6985,6841,6817,6631
6808,6986,6844,6832,6642
6810,6989,6852,6839,6644
6819,6991,6859,6862,6645
6820,6993,6864,6874,6647
6823,6994,6866,6876,6648
6827,6997,6867,6878,6652
6830,6999,6869,6879,6654
6831,7000,6870,6887,6660
6833,7001,6873,6888,6663
6840,7002,6877,6889,6666
6842,7004,6880,6891,6667
6843,7005,6881,6892,6676
6845,7006,6895,6893,6678
6851,7008,6901,6908,6680
6854,7009,6909,6918,6682
6857,7012,6910,6921,6683
6863,7014,6917,6923,6684
6868,7015,6920,6929,6686
6882,7017,6933,6938,6687
6883,7018,6945,6939,6688
6884,7019,6951,6958,6691
6885,7020,6955,6959,6692
6886,7024,6957,6964,6693
6897,7027,6990,6976,6694
6898,7030,7022,6995,6699
6899,7032,7023,6998,6701
6902,7034,7040,7003,6705
6903,7035,7047,7010,6706
6904,7036,7048,7025,6707
6907,7038,7057,7028,6708
6914,7039,7063,7031,6713
6915,7045,7070,7033,6716
6919,7049,7077,7041,6720
6924,7052,7078,7042,6743
6930,7054,7085,7043,6758
6946,7059,7088,7044,6763
6950,7061,7092,7053,6771
6974,7062,7095,7055,6778
6983,7064,7106,7060,6796
6996,7071,7118,7067,6797
7011,7079,7121,7073,6798
7013,7083,7127,7076,6799
7021,7086,7129,7080,6800
7029,7087,7139,7082,6801
7046,7090,7141,7089,6811
7050,7091,7146,7093,6828
7051,7094,7147,7102,6829
7056,7096,7163,7103,6834
7058,7098,7181,7104,6835
7065,7100,7193,7107,6847
7066,7110,7209,7109,6853
7068,7111,7210,7116,6855
7069,7113,7212,7126,6856
7072,7115,7217,7130,6858
7074,7119,7225,7132,6890
7081,7122,7239,7133,6896
7084,7123,7245,7138,6905
7097,7125,7254,7153,6906
7099,7134,7259,7157,6926
7105,7142,7281,7170,6952
7108,7143,7285,7194,6961
7112,7144,7311,7199,6963
7114,7149,7317,7207,6967
7117,7150,7325,7215,6970
7120,7154,7337,7219,6979
7124,7156,7346,7222,6987
7128,7158,7349,7229,6988
7131,7159,7368,7233,6992
7135,7161,7377,7234,7007
7136,7169,7388,7235,7016
7137,7171,7392,7236,7026
7145,7173,7399,7240,7037
7151,7174,7402,7244,7075
7162,7175,7403,7249,7101
7165,7177,7404,7253,7140
7172,7179,7406,7257,7148
7178,7183,7409,7262,7152
7192,7185,7413,7274,7155
7195,7186,7415,7276,7160
7196,7187,7416,7284,7164
7216,7188,7417,7286,7166
7227,7189,7419,7293,7167
7228,7190,7420,7295,7168
7231,7191,7421,7304,7176
7241,7197,7424,7308,7180
7242,7200,7428,7318,7182
7246,7201,7429,7324,7184
7267,7202,7436,7328,7198
7278,7204,7441,7329,7203
7282,7205,7443,7338,7208
7288,7206,7451,7343,7226
7291,7211,7452,7348,7230
7292,7213,7468,7351,7232
7297,7214,7478,7366,7237
7303,7218,7480,7378,7243
7319,7220,7499,7395,7250
7320,7221,7501,7400,7252
7326,7223,7508,7427,7255
7333,7224,7518,7430,7260
7341,7238,7521,7435,7263
7344,7247,7523,7437,7264
7347,7248,7524,7442,7266
7362,7251,7534,7446,7268
7371,7256,7535,7448,7269
7372,7258,7537,7456,7272
7375,7261,7538,7460,7273
7397,7265,7556,7465,7275
7398,7270,7558,7469,7277
7401,7271,7578,7472,7279
7407,7280,7579,7475,7287
7408,7283,7587,7479,7294
7412,7289,7595,7481,7296
7414,7290,7596,7495,7307
7426,7298,7602,7496,7309
7433,7299,7603,7503,7312
7438,7300,7616,7505,7313
7439,7301,7620,7506,7315
7447,7302,7626,7528,7316
7455,7305,7628,7531,7322
7464,7306,7636,7533,7323
7482,7310,7666,7536,7327
7487,7314,7678,7540,7331
7491,7321,7680,7547,7332
7492,7330,7683,7551,7334
7500,7336,7690,7557,7335
7502,7339,7691,7562,7340
7504,7350,7696,7565,7342
7507,7352,7698,7567,7345
7509,7354,7702,7582,7353
7511,7356,7735,7584,7355
7512,7358,7741,7586,7357
7522,7359,7744,7591,7360
7529,7363,7753,7592,7361
7541,7364,7754,7599,7365
7544,7376,7756,7611,7367
7548,7379,7760,7615,7369
7554,7380,7761,7619,7370
7555,7382,7767,7621,7373
7573,7383,7771,7622,7374
7574,7384,7772,7624,7381
7581,7386,7777,7631,7385
7588,7389,7778,7634,7387
7589,7391,7780,7635,7390
7600,7411,7788,7637,7393
7601,7422,7797,7638,7394
7605,7425,7798,7639,7396
7609,7431,7807,7641,7405
7612,7434,7827,7643,7410
7630,7444,7848,7645,7418
7647,7445,7852,7650,7423
7653,7453,7853,7652,7432
7656,7454,7855,7670,7440
7672,7457,7872,7677,7449
7674,7458,7873,7686,7450
7675,7462,7886,7692,7459
7684,7467,7888,7695,7461
7697,7470,7890,7709,7463
7704,7471,7897,7711,7466
7710,7473,7898,7715,7483
7726,7474,7899,7716,7486
7728,7476,7901,7717,7490
7747,7477,7906,7721,7497
7751,7484,7911,7724,7517
7752,7485,7915,7727,7519
7757,7488,7921,7737,7532
7763,7489,7923,7739,7539
7764,7493,7926,7742,7542
7766,7494,7928,7745,7546
7768,7498,7929,7750,7550
7774,7510,7935,7773,7553
7775,7513,7949,7779,7560
7783,7514,7959,7784,7563
7787,7515,7967,7785,7568
7791,7516,7972,7790,7569
7792,7520,7974,7803,7571
7801,7525,7988,7804,7572
7802,7526,7996,7806,7575
7816,7527,7997,7810,7580
7821,7530,8002,7813,7593
7831,7543,8006,7818,7594
7834,7545,8016,7820,7606
7835,7549,8024,7824,7608
7837,7552,8028,7825,7610
7838,7559,8040,7829,7613
7839,7561,8042,7836,7617
7840,7564,8044,7841,7627
7845,7566,8047,7846,7633
7849,7570,8055,7862,7640
7854,7576,8059,7874,7644
7856,7577,8063,7877,7648
7857,7583,8070,7879,7649
7863,7585,8072,7880,7651
7868,7590,8073,7883,7655
7870,7597,8078,7885,7658
7875,7598,8084,7892,7661
7878,7604,8087,7903,7662
7889,7607,8096,7910,7676
7894,7614,8099,7913,7681
7916,7618,8107,7925,7682
7920,7623,8123,7930,7688
7934,7625,8137,7936,7693
7943,7629,8149,7939,7694
7944,7632,8151,7940,7699
7957,7642,8158,7946,7703
7958,7646,8166,7948,7705
7965,7654,8168,7955,7706
7966,7657,8176,7961,7714
7971,7659,8177,7962,7725
7973,7660,8180,7963,7729
7975,7663,8182,7964,7740
7976,7664,8183,7970,7743
7979,7665,8185,7978,7755
7993,7667,8187,7980,7759
7998,7668,8189,7982,7769
7999,7669,8190,7985,7781
8018,7671,8206,7990,7782
8038,7673,8209,7994,7786
8043,7679,8211,8000,7789
8050,7685,8219,8007,7793
8051,7687,8221,8009,7794
8053,7689,8222,8010,7795
8075,7700,8226,8011,7796
8081,7701,8247,8012,7799
8089,7707,8248,8021,7805
8091,7708,8254,8022,7808
8093,7712,8256,8025,7809
8095,7713,8265,8027,7812
8097,7718,8266,8030,7815
8104,7719,8267,8031,7826
8111,7720,8270,8033,7828
8112,7722,8275,8035,7830
8114,7723,8278,8037,7832
8115,7730,8293,8041,7842
8119,7731,8295,8045,7844
8120,7732,8298,8068,7847
8121,7733,8300,8071,7859
8124,7734,8304,8074,7860
8127,7736,8305,8076,7866
8129,7738,8316,8102,7869
8130,7746,8321,8103,7881
8131,7748,8329,8116,7882
8132,7749,8330,8118,7887
8135,7758,8340,8128,7891
8139,7762,8358,8133,7895
8140,7765,8368,8138,7896
8141,7770,8372,8143,7905
8144,7776,8396,8150,7907
8147,7800,8400,8154,7908
8161,7811,8407,8164,7917
8163,7814,8424,8167,7919
8165,7817,8426,8173,7922
8170,7819,8427,8179,7924
8178,7822,8428,8181,7927
8184,7823,8429,8188,7931
8192,7833,8447,8195,7932
8193,7843,8453,8200,7933
8197,7850,8455,8202,7937
8204,7851,8460,8205,7938
8207,7858,8465,8208,7941
8210,7861,8493,8214,7942
8213,7864,8494,8217,7945
8230,7865,8495,8220,7950
8232,7867,8512,8223,7951
8240,7871,8514,8224,7984
8242,7876,8524,8225,7986
8243,7884,8535,8227,7989
8245,7893,8540,8239,7991
8251,7900,8541,8258,8003
8297,7902,8542,8259,8004
8299,7904,8544,8272,8005
8302,7909,8549,8281,8008
8308,7912,8550,8291,8014
8309,7914,8553,8294,8017
8320,7918,8559,8311,8019
8332,7947,8562,8317,8020
8337,7952,8564,8326,8023
8338,7953,8565,8351,8034
8339,7954,8569,8378,8048
8344,7956,8571,8383,8052
8345,7960,8575,8384,8054
8346,7968,8587,8385,8058
8347,7969,8588,8387,8060
8353,7977,8589,8389,8062
8354,7981,8593,8392,8064
8355,7983,8603,8394,8065
8357,7987,8609,8398,8066
8360,7992,8623,8404,8069
8362,7995,8630,8411,8077
8367,8001,8642,8413,8082
8371,8013,8655,8416,8083
8373,8015,8656,8417,8085
8374,8026,8657,8419,8086
8375,8029,8658,8421,8090
8376,8032,8665,8431,8092
8377,8036,8669,8432,8094
8379,8039,8670,8433,8098
8382,8046,8672,8436,8100
8401,8049,8674,8438,8101
8405,8056,8681,8439,8113
8406,8057,8684,8440,8117
8408,8061,8687,8442,8122
8409,8067,8701,8443,8125
8410,8079,8705,8444,8126
8415,8080,8706,8445,8134
8420,8088,8708,8448,8142
8423,8105,8709,8450,8145
8425,8106,8715,8452,8148
8434,8108,8716,8454,8153
8437,8109,8723,8456,8155
8441,8110,8724,8462,8156
8449,8136,8727,8464,8157
8451,8146,8730,8466,8160
8461,8152,8733,8467,8162
8463,8159,8739,8469,8171
8468,8169,8742,8470,8172
8471,8174,8778,8481,8175
8474,8186,8786,8483,8198
8475,8191,8799,8486,8201
8476,8194,8801,8492,8215
8480,8196,8805,8496,8216
8485,8199,8808,8503,8218
8504,8203,8811,8517,8228
8509,8212,8838,8518,8229
8510,8235,8842,8521,8231
8513,8238,8844,8525,8233
8516,8241,8854,8533,8234
8522,8246,8858,8539,8236
8531,8250,8861,8583,8237
8537,8252,8868,8584,8244
8538,8263,8879,8586,8249
8543,8264,8880,8592,8253
8551,8268,8881,8594,8255
8555,8273,8882,8595,8257
8556,8276,8884,8599,8260
8563,8283,8892,8600,8261
8573,8284,8894,8605,8262
8576,8286,8896,8611,8269
8577,8288,8902,8625,8271
8578,8289,8919,8627,8274
8581,8292,8921,8628,8277
8590,8296,8925,8632,8279
8606,8312,8932,8637,8280
8616,8319,8945,8646,8282
8618,8322,8947,8651,8285
8622,8324,8949,8662,8287
8631,8328,8955,8663,8290
8633,8331,8957,8675,8301
8635,8333,8961,8682,8303
8639,8336,8973,8683,8306
8640,8342,8978,8686,8307
8648,8343,8982,8688,8310
8653,8350,8983,8690,8313
8661,8352,8992,8693,8314
8664,8359,8997,8703,8315
8666,8363,9007,8731,8318
8673,8365,9008,8732,8323
8676,8366,9014,8745,8325
8677,8370,9017,8746,8327
8692,8380,9020,8752,8334
8698,8388,9021,8755,8335
8700,8390,9022,8758,8341
8711,8395,9026,8764,8348
8714,8399,9028,8766,8349
8717,8402,9030,8770,8356
8719,8403,9032,8780,8361
8720,8412,9034,8781,8364
8721,8418,9053,8782,8369
8725,8430,9057,8789,8381
8734,8435,9058,8794,8386
8738,8446,9064,8798,8391
8744,8457,9085,8802,8393
8748,8477,9086,8813,8397
8750,8482,9087,8821,8414
8757,8487,9089,8824,8422
8760,8488,9090,8827,8458
8761,8489,9091,8828,8459
8762,8497,9092,8839,8472
8763,8498,9093,8841,8473
8768,8500,9094,8853,8478
8771,8501,9095,8859,8479
8772,8502,9096,8860,8484
8774,8505,9097,8862,8490
8783,8506,9098,8864,8491
8790,8507,9104,8865,8499
8795,8508,9107,8866,8515
8803,8511,9116,8871,8519
8804,8523,9122,8872,8520
8809,8530,9129,8874,8526
8815,8545,9130,8875,8527
8818,8546,9132,8878,8528
8829,8557,9137,8883,8529
8840,8558,9139,8885,8532
8852,8560,9140,8886,8534
8855,8561,9143,8891,8536
8856,8566,9144,8895,8547
8867,8567,9145,8899,8548
8869,8568,9149,8900,8552
8870,8570,9152,8903,8554
8873,8572,9162,8905,8579
8904,8574,9167,8906,8580
8928,8591,9168,8908,8582
8936,8598,9169,8909,8585
8943,8602,9176,8911,8596
8946,8604,9177,8912,8597
8993,8608,9178,8914,8601
8995,8610,9180,8915,8607
8996,8615,9183,8924,8612
8999,8617,9188,8927,8613
9004,8619,9195,8930,8614
9005,8621,9209,8931,8620
9029,8624,9233,8934,8626
9036,8629,9236,8937,8634
9040,8644,9239,8938,8636
9041,8645,9245,8939,8638
9042,8660,9249,8940,8641
9043,8667,9250,8944,8643
9047,8679,9253,8952,8647
9049,8685,9256,8953,8649
9052,8689,9263,8956,8650
9055,8695,9265,8959,8652
9056,8696,9267,8960,8654
9072,8697,9271,8962,8659
9073,8699,9273,8963,8668
9074,8702,9277,8965,8671
9077,8707,9287,8969,8678
9088,8710,9295,8970,8680
9114,8718,9298,8972,8691
9115,8735,9304,8974,8694
9120,8740,9307,8985,8704
9135,8747,9309,8991,8712
9155,8749,9318,8998,8713
9157,8756,9323,9006,8722
9158,8767,9324,9009,8726
9161,8769,9326,9018,8728
9163,8773,9327,9023,8729
9164,8775,9331,9031,8736
9174,8784,9335,9033,8737
9197,8785,9343,9037,8741
9212,8787,9347,9038,8743
9216,8791,9354,9059,8751
9222,8792,9357,9061,8753
9225,8793,9359,9063,8754
9229,8800,9363,9068,8759
9232,8810,9365,9069,8765
9244,8812,9369,9071,8776
9246,8814,9373,9078,8777
9261,8816,9375,9079,8779
9270,8817,9378,9082,8788
9285,8819,9385,9105,8796
9290,8822,9389,9106,8797
9292,8823,9391,9108,8806
9294,8826,9396,9123,8807
9297,8830,9399,9142,8820
9308,8831,9408,9147,8825
9311,8833,9412,9148,8832
9317,8834,9428,9151,8845
9321,8835,9430,9154,8846
9332,8836,9431,9171,8849
9336,8837,9441,9173,8887
9340,8843,9442,9179,8888
9346,8847,9457,9190,8889
9348,8848,9458,9191,8890
9350,8850,9463,9198,8897
9352,8851,9469,9204,8898
9355,8857,9470,9207,8901
9356,8863,9472,9211,8913
9360,8876,9478,9219,8916
9362,8877,9479,9220,8918
9368,8893,9485,9224,8922
9370,8907,9510,9226,8923
9372,8910,9511,9227,8929
9376,8917,9523,9228,8933
9381,8920,9525,9230,8942
9382,8926,9552,9231,8966
9384,8935,9558,9237,8968
9394,8941,9559,9240,8971
9397,8948,9560,9243,8975
9400,8950,9561,9248,8977
9418,8951,9562,9260,8980
9421,8954,9564,9272,8981
9425,8958,9566,9274,8984
9429,8964,9574,9278,8988
9433,8967,9590,9279,8990
9436,8976,9593,9281,9010
9437,8979,9606,9289,9013
9444,8986,9609,9303,9015
9449,8987,9621,9305,9016
9471,8989,9636,9310,9019
9473,8994,9643,9312,9025
9476,9000,9651,9313,9044
9482,9001,9652,9315,9045
9483,9002,9653,9319,9048
9484,9003,9655,9322,9054
9486,9011,9657,9325,9062
9487,9012,9659,9338,9065
9488,9024,9660,9341,9066
9490,9027,9668,9345,9075
9491,9035,9670,9366,9076
9492,9039,9671,9379,9080
9495,9046,9679,9387,9081
9502,9050,9680,9388,9083
9507,9051,9681,9390,9084
9513,9060,9684,9392,9100
9515,9067,9690,9393,9101
9517,9070,9693,9395,9110
9519,9099,9697,9398,9111
9524,9102,9705,9403,9113
9528,9103,9706,9404,9121
9529,9109,9712,9405,9125
9539,9112,9728,9406,9126
9543,9117,9739,9407,9127
9544,9118,9742,9409,9134
9545,9119,9745,9413,9141
9568,9124,9746,9420,9150
9569,9128,9756,9423,9153
9570,9131,9770,9426,9156
9575,9133,9771,9427,9159
9603,9136,9785,9434,9172
9605,9138,9788,9435,9185
9608,9146,9794,9438,9186
9618,9160,9795,9439,9187
9619,9165,9799,9443,9189
9622,9166,9801,9445,9192
9637,9170,9806,9446,9193
9638,9175,9810,9453,9194
9640,9181,9815,9454,9199
9641,9182,9821,9459,9200
9645,9184,9825,9462,9201
9647,9196,9833,9464,9202
9649,9213,9835,9465,9203
9650,9217,9842,9468,9205
9654,9218,9848,9475,9206
9656,9234,9854,9477,9208
9658,9235,9871,9480,9210
9664,9238,9872,9489,9214
9665,9241,9875,9493,9215
9678,9252,9876,9508,9221
9682,9254,9880,9514,9223
9687,9255,9886,9526,9242
9689,9257,9888,9527,9247
9691,9258,9898,9550,9251
9699,9259,9899,9554,9262
9704,9268,9909,9557,9264
9711,9269,9915,9563,9266
9713,9276,9927,9572,9275
9716,9282,9936,9573,9280
9719,9284,9938,9576,9283
9724,9293,9945,9580,9286
9736,9296,9946,9588,9288
9738,9328,9948,9600,9291
9748,9330,9951,9602,9299
9752,9333,9966,9604,9300
9761,9334,9969,9623,9301
9762,9342,9971,9624,9302
9764,9349,9975,9628,9306
9769,9410,9977,9629,9314
9779,9411,9980,9630,9316
9780,9417,9997,9631,9320
9782,9419,9998,9632,9329
9790,9422,9999,9633,9337
